N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation,Individual Views
232,150,3,3,0.000453472,0.009067955,4.303086996,1.490085363,0.077740431,0.001581233,0.000793457,1.312250853
233,150,3,3,0.000464678,0.008882327,4.277289391,1.474807978,0.089833021,0.001564027,0.000797987,1.317993164
234,150,3,3,0.000445127,0.008906245,4.267969608,1.688836098,0.07905817,0.001693355,0.000804186,1.335487366
235,150,3,3,0.000603437,0.008821031,4.261943102,1.488624334,0.078478575,0.001546493,0.00079751,1.306368113
236,150,3,3,0.000475407,0.008974954,4.229802608,1.472985983,0.079127789,0.001501112,0.000792742,1.311270475
237,150,3,3,0.00044632,0.008883123,4.260375738,1.546374083,0.081280708,0.001527479,0.001000643,1.306984425
238,150,3,3,0.000495195,0.008789914,4.231208801,1.493080378,0.081831932,0.00152271,0.000827789,1.311555147
239,150,3,3,0.000504494,0.008739629,4.249139786,1.489377737,0.079431057,0.001516004,0.000809193,1.313813686
240,150,3,3,0.000447035,0.008981293,4.236439705,1.535153627,0.077301025,0.001538486,0.001000166,1.288734198
241,150,3,3,0.00048089,0.008749127,4.228486061,1.469383717,0.08502388,0.001536897,0.000787497,1.298526764
242,150,3,3,0.000484705,0.008786537,4.261300325,1.465117455,0.077151775,0.001621133,0.00083828,1.294800758
243,150,3,3,0.000471115,0.008957192,4.438218355,1.499884367,0.083908081,0.001587588,0.00079155,1.296139956
244,150,3,3,0.000457764,0.008756099,4.241093636,1.5365026,0.077229023,0.001596568,0.000846386,1.297194481
245,150,3,3,0.000490189,0.008882523,4.218487263,1.47571969,0.078123569,0.00150959,0.000801802,1.312970161
246,150,3,3,0.001027346,0.009365958,4.326037884,1.496018171,0.078782797,0.001553047,0.000924587,1.342003584
247,150,3,3,0.000448942,0.008919757,4.398149967,1.474881649,0.078206778,0.001596616,0.000798702,1.320815325
248,150,3,3,0.000469923,0.008897648,4.272458315,1.49202466,0.080855608,0.001628192,0.000797272,1.322814226
249,150,3,3,0.000443697,0.008967916,4.238312244,1.496602535,0.077286243,0.001507026,0.000781298,1.315128326
250,150,3,3,0.000455379,0.008859965,4.245557785,1.490355015,0.079272032,0.001511583,0.001080036,1.308171988
251,150,3,3,0.000455141,0.008744548,4.371662855,1.532420874,0.079326153,0.001492414,0.001000166,1.30467391
252,150,3,3,0.000457048,0.008778642,4.268177271,1.491403341,0.079049349,0.001532264,0.00081706,1.333073378
253,150,3,3,0.000448227,0.008730141,4.238122225,1.473386526,0.078761339,0.001524693,0.00078249,1.28921771
254,150,3,3,0.000449896,0.008820504,4.303922176,1.551809072,0.079410791,0.001519613,0.000877619,1.297791958
255,150,3,3,0.000468493,0.008659099,4.221795797,1.507214069,0.081019402,0.001510906,0.000796318,1.299401045
256,150,3,3,0.000449181,0.00870546,4.202678442,1.48226285,0.080380201,0.001577017,0.000955582,1.287325382
257,150,3,3,0.000451088,0.008786025,4.247711897,1.492784262,0.078245878,0.001546814,0.000795364,1.301454306
258,150,3,3,0.000454426,0.008879091,4.253035069,1.512975216,0.07988739,0.001520009,0.000846863,1.316609621
259,150,3,3,0.000454187,0.008766085,4.213365793,1.496520758,0.082451582,0.001507937,0.00081563,1.295053482
260,150,3,3,0.000466108,0.008838835,4.276871443,1.526188612,0.080338955,0.001514227,0.000878334,1.313423395
261,150,3,3,0.000456333,0.00866041,4.234433651,1.500653028,0.078548431,0.001490995,0.000844002,1.284224272
262,150,3,3,0.00046277,0.00874122,4.231211901,1.485593319,0.082696915,0.001524293,0.000883341,1.288347483
263,150,3,3,0.000459909,0.009010336,4.294137716,1.469713449,0.087395906,0.001545901,0.000816822,1.337067842
264,150,3,3,0.000451565,0.009002895,4.33026433,1.486134052,0.084712982,0.001505928,0.000798464,1.297233105
265,150,3,3,0.000447512,0.009201986,4.371366739,1.493210793,0.078180075,0.001524094,0.001048088,1.297714949
266,150,3,3,0.000564814,0.008870602,4.215411663,1.491299391,0.088085651,0.001538192,0.000788927,1.304256916
267,150,3,3,0.000469685,0.008734573,4.203841925,1.465986013,0.07832408,0.001628036,0.00078845,1.304425955
268,150,3,3,0.000498772,0.00894098,4.241631269,1.474374056,0.081890106,0.001533276,0.000798702,1.314880133
269,150,3,3,0.00049305,0.008765645,4.225450754,1.468799353,0.077972651,0.001530145,0.000792027,1.322254181
270,150,3,3,0.000613213,0.008859132,4.229680061,1.499522448,0.086293459,0.001560988,0.000810146,1.313006639
271,150,3,3,0.000449181,0.008759642,4.226354599,1.495653391,0.085552454,0.001541667,0.000818014,1.298732042
272,150,3,3,0.000453711,0.00875747,4.212679386,1.481783152,0.079964161,0.001520049,0.000805616,1.289100647
273,150,3,3,0.000567675,0.0086806,4.286425591,1.464459181,0.085528374,0.001537383,0.000802994,1.292595148
274,150,3,3,0.00047946,0.009002819,4.285961151,1.593516588,0.078121424,0.001540847,0.000797749,1.281756163
275,150,3,3,0.000449181,0.008670828,4.184327602,1.425080776,0.071307659,0.001455928,0.000906229,1.280309677
276,150,3,3,0.000462055,0.008610191,4.235666275,1.415932178,0.072244883,0.001504701,0.000792265,1.300309896
277,150,3,3,0.000458479,0.008668782,4.191824913,1.439706802,0.084569454,0.001515552,0.000808239,1.277048111
278,150,3,3,0.000458479,0.008679369,4.144802809,1.419969797,0.072416782,0.001468356,0.000796556,1.274666548
279,150,3,3,0.000467062,0.008611267,4.190320015,1.412318707,0.078777313,0.001472305,0.000802517,1.28793478
280,150,3,3,0.000458002,0.008679393,4.20736289,1.417699814,0.076081991,0.00149291,0.000792742,1.295870304
281,150,3,3,0.000461578,0.008912792,4.252647161,1.421355486,0.072361231,0.001471416,0.000802755,1.286017179
282,150,3,3,0.000479221,0.008641297,4.228006601,1.42523098,0.071752548,0.001479804,0.000804901,1.310009718
283,150,3,3,0.000519514,0.009018691,4.431267738,1.491209507,0.080251932,0.001498968,0.00080657,1.328237057
284,150,3,3,0.0004704,0.008876494,4.189184189,1.417086124,0.074067831,0.001480713,0.000810146,1.294809818
285,150,3,3,0.00046277,0.008600221,4.162270784,1.406413317,0.071506262,0.001475541,0.000790834,1.285757542
286,150,3,3,0.000463486,0.008641246,4.159660101,1.417185307,0.073537827,0.001457753,0.000794649,1.283913851
287,150,3,3,0.00045228,0.008645806,4.176309586,1.5036726,0.078460932,0.001476378,0.000794888,1.28652668
288,150,3,3,0.000470877,0.008657077,4.177503824,1.434812069,0.071663857,0.001484102,0.000796318,1.309746027
289,150,3,3,0.000471115,0.008940008,4.208182573,1.42556262,0.07213068,0.001475817,0.000795364,1.290949106
290,150,3,3,0.0004673,0.009028616,4.195430756,1.42842555,0.071424961,0.001488913,0.000795841,1.284903049
291,150,3,3,0.000458241,0.008678872,4.199025154,1.420107365,0.081598043,0.001490461,0.000792265,1.301736832
292,150,3,3,0.000452042,0.008640138,4.170369864,1.416689157,0.071954012,0.001499168,0.000799179,1.281289816
293,150,3,3,0.000458241,0.008704022,4.644661188,1.420450449,0.077821016,0.001484865,0.000794411,1.286302567
294,150,3,3,0.000451565,0.008666339,4.180791855,1.41319108,0.071073532,0.00146944,0.000818968,1.291321516
295,150,3,3,0.000458241,0.008590446,4.15952301,1.424648523,0.071995735,0.001481884,0.000806808,1.282550335
296,150,3,3,0.000457048,0.008806585,4.201290607,1.413039207,0.072325945,0.001484553,0.00079155,1.281001329
297,150,3,3,0.000465155,0.008762139,4.179910898,1.497052908,0.072046757,0.001487759,0.000795364,1.295351505
298,150,3,3,0.000459671,0.008601731,4.223186493,1.428902626,0.071274042,0.001485165,0.001126289,1.450643063
299,150,3,3,0.000462055,0.00863884,4.172220707,1.442317009,0.080383778,0.001530825,0.000797272,1.286106348
300,150,3,3,0.000470161,0.008758141,4.180749655,1.415461302,0.071653843,0.001519915,0.000797987,1.275786877
301,150,3,3,0.000560045,0.008837511,4.446340799,1.435062647,0.072745323,0.001474458,0.000794649,1.319672108
302,150,3,3,0.000464678,0.010268005,4.330577612,1.458065271,0.07469058,0.001638602,0.000926018,1.303676844
303,150,3,3,0.000451326,0.009043857,4.252579451,1.427078009,0.07205677,0.001603807,0.000807524,1.322943211
304,150,3,3,0.000463724,0.008946578,4.241037846,1.450953722,0.073065281,0.001491534,0.00080204,1.346971512
305,150,3,3,0.000450134,0.008852708,4.32397604,1.439471245,0.071879148,0.001488705,0.000891924,1.317083359
306,150,3,3,0.0004673,0.00877991,4.413123608,1.43879962,0.071759701,0.001478477,0.00080061,1.319876671
307,150,3,3,0.000449896,0.008914255,4.342859268,1.631588221,0.072989941,0.001493761,0.000793695,1.342347622
308,150,3,3,0.000460148,0.008819199,4.260932684,1.446239471,0.071899891,0.001521277,0.000844717,1.320406437
309,150,3,3,0.000487089,0.008887938,4.270390987,1.441383362,0.071838856,0.001510472,0.00081563,1.307975769
310,150,3,3,0.000494719,0.008702555,4.529645205,1.44497776,0.071741343,0.001512043,0.001190186,1.3217659
311,150,3,3,0.000456095,0.009312847,4.279429674,1.528218508,0.07370162,0.001499995,0.000846624,1.351115704
312,150,3,3,0.000550508,0.008850325,4.220755816,1.44644475,0.071832418,0.001485731,0.000796556,1.328665972
313,150,3,3,0.000478268,0.008801681,4.24430418,1.452148199,0.073259354,0.001473131,0.000802755,1.292840481
314,150,3,3,0.000456572,0.00870108,4.244637251,1.459558964,0.076360226,0.00148129,0.00080061,1.298198938
315,150,3,3,0.000457764,0.008797936,4.233887911,1.448146343,0.078281403,0.001557458,0.000809908,1.313851357
316,150,3,3,0.000863552,0.008964128,4.242619276,1.424270868,0.072265625,0.00162563,0.000795364,1.304443598
317,150,3,3,0.000481367,0.009117699,4.446809053,1.442429543,0.07461524,0.001653056,0.000802279,1.297636032
318,150,3,3,0.000469685,0.00876883,4.252525091,1.538652658,0.078702211,0.001619212,0.00078702,1.311364651
319,150,3,3,0.00046277,0.00875188,4.236755371,1.438097239,0.072374821,0.001546137,0.00078845,1.308631182
320,150,3,3,0.00046134,0.008894865,4.262492657,1.428682566,0.071666002,0.001473083,0.000926018,1.306822062
321,150,3,3,0.000471115,0.008820073,4.264746666,1.463700056,0.071273088,0.001500125,0.000796795,1.303338528
322,150,3,3,0.000458717,0.008737919,4.226537228,1.450179577,0.074799299,0.00148025,0.000903368,1.305137396
323,150,3,3,0.000452757,0.008731103,4.259009123,1.4453547,0.080916166,0.001514223,0.00121069,1.293863773
324,150,3,3,0.000460148,0.008879531,4.3555305,1.451947689,0.074802637,0.001464256,0.000790834,1.290801764
325,150,3,3,0.000456333,0.008676599,4.250307798,1.457246304,0.079489231,0.001584058,0.000798225,1.308632851
326,150,3,3,0.000452042,0.008839393,4.291819572,1.448083401,0.077245951,0.001607982,0.000799417,1.31710577
327,150,3,3,0.000488043,0.008723423,4.244878769,1.419308186,0.072401285,0.001506801,0.000792742,1.304192543
328,150,3,3,0.000458956,0.009209154,4.22576642,1.514522552,0.071014166,0.001481778,0.000821114,1.333440781
329,150,3,3,0.000448942,0.008818808,4.283858538,1.523175001,0.072770119,0.001478027,0.000848532,1.321926594
330,150,3,3,0.000469923,0.008939873,4.253053188,1.451813221,0.072689056,0.00148867,0.000803232,1.322036266
331,150,3,3,0.000467539,0.008834583,4.259060621,1.449765921,0.072046041,0.001495743,0.000799894,1.311161518
332,150,3,3,0.000459909,0.008886887,4.255589247,1.469264269,0.074282169,0.001460559,0.000790119,1.293330193
333,150,3,3,0.000468731,0.008805372,4.235734701,1.490087748,0.077805996,0.001489091,0.000795126,1.302196026
334,150,3,3,0.000459433,0.008854766,4.218475819,1.441952467,0.076969147,0.001576918,0.000792265,1.335759878
335,150,3,3,0.000441551,0.009004043,4.252372026,1.673639536,0.076868534,0.001582952,0.000806808,1.31540513
336,150,3,3,0.000452757,0.008770808,4.268904686,1.451926947,0.079280615,0.001519723,0.000793695,1.305154324
337,150,3,3,0.000451088,0.008769929,4.256202698,1.451938391,0.07116127,0.001643955,0.000798941,1.308516502
338,150,3,3,0.000477314,0.008898735,4.235067129,1.422949314,0.071326017,0.001507068,0.000793695,1.319593668
339,150,3,3,0.000459433,0.009055831,4.239724874,1.43845129,0.071876287,0.001471616,0.000843287,1.316503286
340,150,3,3,0.000461102,0.009305153,4.352345467,1.509039402,0.074230433,0.001526162,0.000808477,1.337527752
341,150,3,3,0.000458479,0.008853046,4.231457233,1.44925642,0.071798325,0.001463124,0.000974417,1.304804802
342,150,3,3,0.000462532,0.008665776,4.234591484,1.454416513,0.071074009,0.00145483,0.000795126,1.293285131
343,150,3,3,0.000458479,0.00880198,4.274650812,1.456664562,0.075665474,0.001489922,0.000805616,1.307895899
344,150,3,3,0.000455141,0.00874543,4.225199938,1.450888395,0.080696821,0.001601885,0.000818253,1.302353144
345,150,3,3,0.00047183,0.008799068,4.231514692,1.420444965,0.071365118,0.001574151,0.000800133,1.299764633
346,150,3,3,0.000451565,0.009078108,4.390044928,1.427689552,0.072411776,0.001559712,0.000787973,1.314400911
347,150,3,3,0.000461102,0.008934293,4.24920702,1.46316433,0.071613073,0.001505744,0.000794172,1.324341774
348,150,3,3,0.000462294,0.008747258,4.21718502,1.451474428,0.075618029,0.001484928,0.000978231,1.296150684
349,150,3,3,0.000466824,0.008803393,4.260950327,1.445859671,0.071670294,0.001473215,0.00080204,1.309617281
350,150,3,3,0.000453472,0.008714945,4.205771208,1.444575548,0.080132961,0.001487424,0.000963449,1.282722235
351,150,3,3,0.000468254,0.008837759,4.27608943,1.43539691,0.123434067,0.001713867,0.00078702,1.30110693
352,150,3,3,0.000462532,0.008821448,4.236738682,1.425766945,0.071163654,0.001629462,0.000795126,1.302903891
353,150,3,3,0.000468969,0.008839197,4.248059511,1.79785037,0.079535007,0.001628408,0.000798225,1.293215275
354,150,3,3,0.000475407,0.008766398,4.923715353,1.489858866,0.076659918,0.001631373,0.000794411,1.30152297
355,150,3,3,0.000464916,0.008729701,4.179424763,1.417693138,0.07195735,0.001480613,0.000798225,1.282153368
356,150,3,3,0.000459433,0.00862336,4.154430151,1.43671298,0.071301222,0.001503002,0.000803709,1.276986361
357,150,3,3,0.000471115,0.008710233,4.254947901,1.41988492,0.078565598,0.00147655,0.000801086,1.296422243
358,150,3,3,0.000524044,0.008557895,4.162974358,1.425423384,0.07183218,0.001471899,0.000803232,1.281970978
359,150,3,3,0.000459671,0.008681013,4.174892664,1.412953138,0.072846889,0.001487355,0.00080514,1.281884909
360,150,3,3,0.000465393,0.008711206,4.177403688,1.402536869,0.071615934,0.001483742,0.00078249,1.264749289
361,150,3,3,0.000454426,0.008623304,4.170514345,1.424804211,0.072412014,0.001488473,0.000802279,1.282543421
362,150,3,3,0.00046134,0.008635135,4.264919519,1.419973135,0.071846962,0.001475679,0.000795126,1.371407986
363,150,3,3,0.000465631,0.008608487,4.17514205,1.417219877,0.073588133,0.001499519,0.000798941,1.280254364
364,150,3,3,0.000455856,0.008559667,4.158190012,1.410471201,0.071239948,0.00146472,0.000799894,1.291723728
365,150,3,3,0.000472546,0.008606747,4.185745239,1.455976009,0.071507215,0.001490536,0.000802517,1.285542011
366,150,3,3,0.001005888,0.008646331,4.171238899,1.411435604,0.077162027,0.001497153,0.000805616,1.290263653
367,150,3,3,0.000463247,0.008579491,4.145122051,1.724036217,0.071473122,0.001481217,0.000792503,1.265588284
368,150,3,3,0.000457525,0.00861015,4.271224976,1.424760818,0.07238555,0.001495447,0.000798941,1.283894539
369,150,3,3,0.000464439,0.008653204,4.143335819,1.416627884,0.07163167,0.00147639,0.000789404,1.299381971
370,150,3,3,0.000468016,0.008603141,4.174407005,1.480447769,0.07157588,0.001512367,0.000795603,1.278598309
371,150,3,3,0.000457287,0.008729215,4.196801424,1.409754515,0.072237968,0.001487064,0.000804663,1.291967154
372,150,3,3,0.000440359,0.008575824,4.137047052,1.423002243,0.073901653,0.001480589,0.000798702,1.278753996
373,150,3,3,0.000467062,0.00863207,4.160000086,1.453743219,0.071793318,0.001553396,0.000789642,1.283931494
374,150,3,3,0.000448942,0.009082384,4.157927275,1.418843031,0.072203636,0.001485182,0.000796795,1.288181067
375,150,3,3,0.000455856,0.008559422,4.146696568,1.443340778,0.080722094,0.001477167,0.000784874,1.274927139
376,150,3,3,0.000468493,0.008659628,4.185434341,1.421746254,0.073417187,0.001500537,0.000980139,1.332069874
377,150,3,3,0.000460863,0.00862473,4.152656555,1.419840813,0.071394682,0.001482913,0.000885248,1.273000717
378,150,3,3,0.000459671,0.008555358,4.180834055,1.459526777,0.071511507,0.00147438,0.000801325,1.271145344
379,150,3,3,0.000456095,0.008588886,4.155138969,1.489065409,0.072085619,0.00150444,0.000793695,1.286063194
380,150,3,3,0.000464201,0.008629088,4.164259911,1.414929152,0.072102547,0.001474266,0.00079608,1.284409046
381,150,3,3,0.00045681,0.008590299,4.221082926,1.422839165,0.085290194,0.001468883,0.000794411,1.293673992
383,150,3,3,0.000459909,0.009219149,5.129812241,1.529315233,0.081709623,0.001647193,0.000812292,1.307015657
384,150,3,3,0.00046134,0.008949827,4.387250662,1.470089912,0.084711075,0.0015884,0.000791073,1.304935217
385,150,3,3,0.000458241,0.008782612,4.536845922,1.670630693,0.07703495,0.001572247,0.000799179,1.314196587
386,150,3,3,0.000465393,0.008839294,4.418333054,1.488777637,0.078315973,0.001493996,0.00079751,1.310711861
387,150,3,3,0.000448704,0.00889949,4.313597441,1.465875387,0.076948643,0.001516884,0.000800848,1.322224617
388,150,3,3,0.000455379,0.008864671,4.254961967,1.459905386,0.073667049,0.001525718,0.000819445,1.347623587
389,150,3,3,0.000449896,0.00897915,4.248219728,1.439165354,0.073570251,0.001468099,0.000818729,1.428064585
390,150,3,3,0.00059104,0.008741922,4.242814302,1.443126678,0.072848797,0.001502816,0.000792027,1.3195858
391,150,3,3,0.00087142,0.008982549,4.251024961,1.499015331,0.076149464,0.001499246,0.000794888,1.29449892
392,150,3,3,0.000463486,0.008991178,4.442608833,1.504095793,0.078684807,0.001559992,0.00080657,1.309792519
393,150,3,3,0.000440836,0.008727169,4.291421175,1.467298508,0.075103045,0.001513815,0.000793695,1.298215389
394,150,3,3,0.000453711,0.008723332,4.317979813,1.450524569,0.072313309,0.001470621,0.000791788,1.298634768
395,150,3,3,0.000481606,0.008751005,4.499122858,1.460787773,0.073601246,0.001514252,0.000790119,1.294705629
396,150,3,3,0.000456333,0.008812421,4.247665882,1.451488256,0.081134558,0.00150785,0.000803709,1.310517788
397,150,3,3,0.000445127,0.008736531,4.211723089,1.437343359,0.071500301,0.001610985,0.000792265,1.431041718
398,150,3,3,0.000492811,0.00986105,4.315303326,1.469236612,0.077435255,0.001500093,0.000789881,1.298757553
399,150,3,3,0.000459194,0.008733398,4.232520103,1.453660965,0.071649551,0.001501662,0.000806093,1.296411991
400,150,3,3,0.000459194,0.00883465,4.266911268,1.471002817,0.07598424,0.001489048,0.001137495,1.552792549
401,150,3,3,0.000451803,0.008665152,4.238629341,1.438026905,0.072595358,0.001494753,0.000827074,1.287243366
